match_id,date,team1,team2,team1_sets,team2_sets,winner
2025-11-15_0QqJdHDe_SCoBbwqq,2025-11-15,benfica-0QqJdHDe,academica-de-espinho-SCoBbwqq,3,0,benfica-0QqJdHDe
2025-11-15_4rlrKbzF_INkEKK52,2025-11-15,vitoria-guimaraes-4rlrKbzF,leixoes-sc-INkEKK52,1,3,leixoes-sc-INkEKK52
2025-11-15_SO3PAQkT_fB5HCnLG,2025-11-15,suntory-sunbirds-SO3PAQkT,osaka-sakai-fB5HCnLG,3,0,suntory-sunbirds-SO3PAQkT
2025-11-15_2mFkvMLS_IVLyj26M,2025-11-15,maaseik-2mFkvMLS,roeselare-IVLyj26M,3,1,maaseik-2mFkvMLS
2025-11-15_G06DuLNr_O4MYx0BC,2025-11-15,chaumont-G06DuLNr,nice-O4MYx0BC,3,1,chaumont-G06DuLNr
2025-11-15_n1fQwmN6_6qoPxMTP,2025-11-15,menen-n1fQwmN6,achel-6qoPxMTP,3,0,menen-n1fQwmN6
2025-11-15_Kfbd7lGB_2qsyTQW9,2025-11-15,padova-Kfbd7lGB,milano-2qsyTQW9,2,3,milano-2qsyTQW9
2025-11-15_WhuLLKZT_lWD9RIPD,2025-11-15,zawiercie-WhuLLKZT,jastrzebski-lWD9RIPD,2,3,jastrzebski-lWD9RIPD
2025-11-15_n7gpLG2s_jm1YCctT,2025-11-15,kedzierzyn-kozle-n7gpLG2s,barkom-jm1YCctT,3,2,kedzierzyn-kozle-n7gpLG2s
2025-11-15_EuwcJPKB_pAof6Hml,2025-11-15,norwid-czestochowa-EuwcJPKB,olsztyn-pAof6Hml,0,3,olsztyn-pAof6Hml
2025-11-15_tOoNOmgh_hC0jKP7N,2025-11-15,novosibirsk-tOoNOmgh,nova-novokuybyshevsk-hC0jKP7N,3,0,novosibirsk-tOoNOmgh
2025-11-15_8d2aS61N_dhVmA0z9,2025-11-15,goias-8d2aS61N,sada-cruzeiro-dhVmA0z9,1,3,sada-cruzeiro-dhVmA0z9
2025-11-15_O2FjXreG_nekXvmpb,2025-11-15,freiburg-O2FjXreG,scc-berlin-nekXvmpb,0,3,scc-berlin-nekXvmpb
2025-11-15_6FMIfxIE_lhL6wFCl,2025-11-15,st-nazaire-6FMIfxIE,tourcoing-lhL6wFCl,1,3,tourcoing-lhL6wFCl
2025-11-15_OhtH6NSF_WEyEpt6d,2025-11-15,sete-OhtH6NSF,poitiers-WEyEpt6d,0,3,poitiers-WEyEpt6d
2025-11-15_pKEFygs1_IsSMr354,2025-11-15,foinikas-syroy-pKEFygs1,flisvos-IsSMr354,3,0,foinikas-syroy-pKEFygs1
2025-11-15_pp1TByGo_nLjMYaqj,2025-11-15,gent-pp1TByGo,lindemans-aalst-nLjMYaqj,1,3,lindemans-aalst-nLjMYaqj
2025-11-15_Crdl5TM1_QNcK5khk,2025-11-15,ceske-budejovice-Crdl5TM1,kladno-QNcK5khk,3,0,ceske-budejovice-Crdl5TM1
2025-11-16_p4s7hUbp_fLhuwREA,2025-11-16,tsv-giesen-grizzlys-p4s7hUbp,duren-fLhuwREA,3,2,tsv-giesen-grizzlys-p4s7hUbp
2025-11-16_INbKIAg9_p84AgERs,2025-11-16,ao-kalamata-INbKIAg9,olympiakos-p84AgERs,3,2,ao-kalamata-INbKIAg9
2025-11-16_SWgFhYtl_d0FeiWQ6,2025-11-16,kifisia-SWgFhYtl,panathinaikos-d0FeiWQ6,1,3,panathinaikos-d0FeiWQ6
2025-11-16_2cmfnQzs_QcxiIx5R,2025-11-16,sporting-cp-2cmfnQzs,castelo-maia-gc-QcxiIx5R,3,0,sporting-cp-2cmfnQzs
2025-11-16_tOgUx7xD_hESei7a0,2025-11-16,guibertin-tOgUx7xD,haasrode-leuven-hESei7a0,0,3,haasrode-leuven-hESei7a0
2025-11-16_dYSKZXu0_ETv6cNZn,2025-11-16,ok-maribor-dYSKZXu0,panvita-pomgrad-ETv6cNZn,3,0,ok-maribor-dYSKZXu0
2025-11-16_p6Uf7OoP_lY4LB6zN,2025-11-16,jtekt-p6Uf7OoP,osaka-bluteon-lY4LB6zN,2,3,osaka-bluteon-lY4LB6zN
2025-11-16_SO3PAQkT_fB5HCnLG,2025-11-16,suntory-sunbirds-SO3PAQkT,osaka-sakai-fB5HCnLG,3,1,suntory-sunbirds-SO3PAQkT
2025-11-16_lQ8hRNM8_4MnkBJAK,2025-11-16,vk-lvi-prague-lQ8hRNM8,brno-4MnkBJAK,3,0,vk-lvi-prague-lQ8hRNM8
2025-11-16_CffxNRaH_vgreOTFb,2025-11-16,trentino-CffxNRaH,monza-vgreOTFb,3,0,trentino-CffxNRaH
2025-11-16_0pxnGFZT_fsTxZQzt,2025-11-16,guarulhos-0pxnGFZT,jf-volei-fsTxZQzt,3,0,guarulhos-0pxnGFZT
2025-11-16_f3mgP9Ou_j7MxHCWI,2025-11-16,belgorod-f3mgP9Ou,zenit-kazan-j7MxHCWI,2,3,zenit-kazan-j7MxHCWI
2025-11-16_zav73FX6_Ao2IPdfQ,2025-11-16,projekt-warszawa-zav73FX6,trefl-gdansk-Ao2IPdfQ,3,0,projekt-warszawa-zav73FX6
2025-11-16_Um4hyFKf_SMCDQxuK,2025-11-16,chks-chelm-Um4hyFKf,belchatow-SMCDQxuK,0,3,belchatow-SMCDQxuK
2025-11-16_Kv7iGxys_21Os7cYs,2025-11-16,lublin-Kv7iGxys,rzeszow-21Os7cYs,2,3,rzeszow-21Os7cYs
2025-11-16_ba4VIY16_MB7pnxoH,2025-11-16,din-moscow-ba4VIY16,dinamo-lo-MB7pnxoH,3,0,din-moscow-ba4VIY16
2025-11-16_A7seqaBP_6upmQkon,2025-11-16,cisterna-A7seqaBP,modena-6upmQkon,3,2,cisterna-A7seqaBP
2025-11-16_IXfYN7pB_hxtqRVVu,2025-11-16,piacenza-IXfYN7pB,lube-civitanova-hxtqRVVu,3,0,piacenza-IXfYN7pB
2025-11-16_nNpxlbKs_KCDVlA71,2025-11-16,grottazzolina-nNpxlbKs,cuneo-volley-KCDVlA71,0,3,cuneo-volley-KCDVlA71
2025-11-16_EJS1lfOD_OdjU5n0U,2025-11-16,safety-perugia-EJS1lfOD,verona-OdjU5n0U,2,3,verona-OdjU5n0U
2025-11-16_2wzWMRN4_S0nUsKBh,2025-11-16,yaroslavl-2wzWMRN4,zenit-st-petersburg-S0nUsKBh,0,3,zenit-st-petersburg-S0nUsKBh
2025-11-16_YgncOTwn_K85RJEn0,2025-11-16,ufa-YgncOTwn,novyi-urengoy-K85RJEn0,3,1,ufa-YgncOTwn
2025-11-16_lSPIzHQL_QqMi2DVn,2025-11-16,joinville-lSPIzHQL,volei-renata-QqMi2DVn,1,3,volei-renata-QqMi2DVn
2025-11-16_nLrfnIpa_KloOcygm,2025-11-16,galatasaray-nLrfnIpa,gaziantep-genclik-KloOcygm,3,2,galatasaray-nLrfnIpa
2025-11-16_6katO8rK_n5HM8Usr,2025-11-16,istanbul-gsk-6katO8rK,akkus-bld-n5HM8Usr,3,1,istanbul-gsk-6katO8rK
2025-11-16_UqTvfVSl_IgKl2cpn,2025-11-16,cizre-bld-UqTvfVSl,fenerbahce-IgKl2cpn,0,3,fenerbahce-IgKl2cpn
